#,Company Name,Company Website,Sector Classification,Brief Company Description,HQ Location,Where will roles be located? (post COVID-19),Stage - Series,Current Team Size,Link to Job Postings,Apprx. Total Roles Open,Open to Part-time or Internships?,Engineering,Design,Operations,Sales and Marketing,"Other (PM, Data Science, Legal, etc)",Software Engineer,Frontend Engineer,Backend Engineer,Full Stack Engineer,Mobile Developer,QA Engineer,DevOps,Software Architect,Hardware Engineer,Mechanical Engineer,Systems Engineer,UI/UX Designer,User Researcher,Visual Designer,Creative Director,Finance/ Accounting,Human Resources,Office Manager,Talent/Recruiting,Customer Service,Operations Manager,Executive Assistant,Business Development Representative,Sales Development Representative,Account Executive,Business Development Manager,Account Manager,Sales Manager,Marketer,Marketing Manager,Growth,Customer Success,Business Analyst,Data Scientist,Product Manager,Project Manager,Attorney
138,The Meta,https://themeta.com,Consumer Technology,"We are the team behind KovaaK 2.0, the leading esports training platform.",US/California,"Remote (post COVID-19), At HQ (as listed above)",Series A,1-10 FTE,https://themeta.com/open-positions,1-5,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Chippin,chippinsnacks.com,Consumer Technology,Chippin is the world’s most sustainable pet food brand. We harness the power of alternative protein to make nutritious pet products that use 90% less resources.,US/New York,"Remote (post COVID-19), At HQ (as listed above)",Pre-Seed,1-10 FTE,Contact Haley directly at haley@chippinsnacks.com,1-5,,,X,X,X,X,,,,,,,,,,,,X,,,,,,,,,X,,,,,X,,X,,X,X,,X,X,,,
140,Ribbon Health,www.ribbonhealth.com,Healthcare,"Ribbon Health is a health care data platform that provides the critical infrastructure that payers, providers, and digital health solutions need to enable accurate provider directories, reliable referral management, and efficient care navigation.",US/New York,At HQ (as listed above),Series A,1-10 FTE,www.ribbonhealth.com/careers,6-10,,X,,X,X,X,X,,,X,,,,,,,,,,,,,,,X,,,,,,,X,,,,,X,,,X,X,,
141,Carta,https://carta.com/,Other,"At Carta, we’re building the future of equity and ownership. We’ve changed how companies, investors, and employees manage equity. Now, we’re transforming how capital markets operate. Our goal is to create more owners and increase transparency and liquidity for shareholders. More than 800,000 investors, law firms, and employees use our platform, and we manage over $575B in equity.",US/California,"At HQ (as listed above), SF, Palo Alto, NYC, Rio, Seattle, Waterloo",Series E+,501+ FTE,https://carta.com/careers/,20+,,X,,,,X,X,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,
142,Ripple,ripple.com,,,US/California,,,,https://ripple.com/company/careers/all-jobs/,20+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Game Closure,www.gameclosure.com,Consumer Technology,"Join a global team of passionate engineers and game professionals, work on groundbreaking technology — invented at Game Closure. Build something new to engage and entertain millions of people on the world’s largest platforms.",US/California,"Remote (post COVID-19), At HQ (as listed above), Tokyo, Japan",Series B,51-100 FTE,https://jobs.lever.co/gameclosure,1-5,,X,X,X,,,X,X,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,
144,metaclinic,www.metaclinic.com,Healthcare,Make your practice  the hub for treatment. Metaclinic empowers health care service providers to work together while delivering care.,Fully Remote (not only during COVID-19),"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,,1-5,,,X,X,X,,,,,,,,,,,,,X,X,X,X,,,,,X,,X,X,X,,,,X,,,X,X,,,,,
145,RapidSOS,https://rapidsos.com/,Enterprise Technology,"RapidSOS provides life-saving data from millions of connected devices directly to 9-1-1 and first responders in an emergency – providing faster, more effective response for over 150 million emergencies annually.
 
 We partner with public safety to deliver the future of emergency response, today. 
 
 The infrastructure behind 9-1-1 often dates to the 1960s, limiting emergencies to analogue voice calls. We’ve spent over six years working with thousands of first responders and studying millions of 9-1-1 calls to provide agencies nationwide with a cutting-edge emergency response platform. 
 
 Our founders created RapidSOS to establish a link between connected devices and emergency services. The RapidSOS platform provides life-saving multimedia, health profile, and real-time incident data from connected devices and apps directly to 9-1-1 and first responders. Today, over 4,000 agencies receive life-saving data from RapidSOS. 
 
 Together with technology companies and the public safety community, we are creating the Internet of Life-Saving Things.",US/New York,At HQ (as listed above),Series B,101-500 FTE,https://rapidsos.com/careers/,6-10,,X,,,X,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,
146,Duco Technology,https://du.co,Enterprise Technology,"Duco is a fast-growth technology company. Businesses in the digital economy succeed or fail based on their ability to deal with masses of data and complexity quickly and efficiently. Duco’s mission is simple: to make managing data easy. We empower users to normalise, validate and reconcile any type of data on demand.
 
 New clients are live in 24 hours, with results in 7 days and tangible business value in 30 days. Our customers include international banks, brokers, exchanges, asset managers, hedge funds, administrators, service providers and corporates. Headquartered in London, with offices in New York, Luxembourg, Edinburgh, Singapore and Poland, Duco serves clients throughout Europe, North America, Africa, Asia, and Australasia.
 
 Duco is backed by Insight Venture Partners, NEX Group and Eight Roads Ventures, having recently received a $28 million investment.","United Kingdom, The","At HQ (as listed above), (London)",,101-500 FTE,https://jobs.lever.co/duco/d2e50f5b-5930-4bd1-b5df-082ee193afe3,1-5,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Boxbot,https://www.boxbot.io/,,"Last-mile logistics, powered by automation",US/California,At HQ (as listed above),,,https://www.boxbot.io/careers,11-20,,X,,X,X,,,,X,X,X,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,
148,Helpshift,https://www.helpshift.com/company/careers/,Enterprise Technology,"Helpshift bridges the disconnect between conventional customer service channels—like email and phone support—and a growing consumer base that does more on mobile phones and has a strong preference for messaging as the primary mode of communication. Through Helpshift’s AI-powered support platform, companies can resolve issues more efficiently, boosting customer satisfaction in the process.",US/California,"Remote (post COVID-19), At HQ (as listed above), Pune, India",Series C,101-500 FTE,https://jobs.lever.co/helpshift?,6-10,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,X,X,,,,,,,
149,Rheaply,rheaply.com,Enterprise Technology,"Rheaply is a Chicago-based technology company focused on solutions for making organizations more efficient, sustainable, and connected. Rheaply has developed and launched the only exchange technology for professionals to share their ideas and surplus resources with colleagues to reduce time, costs, as well as unnecessary environmental waste, called AxM.",US/Illinois,At HQ (as listed above),,1-10 FTE,https://www.builtinchicago.org/job/engineer/frontend-engineer/98363,1-5,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,HealthVerity,https://www.healthverity.com,Enterprise Technology,"The secure technology foundation for your enterprise. Our technology platform serves as the foundation for the rapid creation, exchange and management of healthcare and consumer data in a fully-interoperable, privacy-protecting manner.",US/Pennsylvania,At HQ (as listed above),Series C,51-100 FTE,https://healthverity.com/careers/opportunities/,20+,,X,,,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
151,Emotive.io,emotive.io,Enterprise Technology,We allow businesses to connect with their customers on a human level at massive scale,US/California,At HQ (as listed above),Series A,11-50 FTE,https://emotive.breezy.hr/,1-5,,X,,,X,,X,X,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
152,SINAI Technologies Inc.,www.sinaitechnologies.com,Enterprise Technology,We build software for enterprises to lower their carbon footprint in the most capital-efficient way.,US/California,At HQ (as listed above),Seed,1-10 FTE,https://angel.co/company/sinai-technologies/jobs/,1-5,,X,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
153,Armis,Armis,Enterprise Technology,"cyber security: leading agentless, enterprise-class security platform to address the new threat landscape of unmanaged and IoT devices.",US/California,"At HQ (as listed above), Reston, VA",Series C,101-500 FTE,https://www.comeet.com/jobs/armis/94.00C,11-20,,X,,,X,X,X,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,
154,Zumper,Zumper.com,Consumer Technology,We're on a mission to make renting an apartment as easy as booking a hotel.,US/California,"Remote (post COVID-19), At HQ (as listed above), Scottsdale, AZ | Providence, RI",Series D,101-500 FTE,https://jobs.lever.co/zumper,11-20,,,X,X,X,X,,,,,,,,,,,,X,X,X,X,,,,,X,,,,,X,,X,,,,X,X,,,X,,
155,Mu Sigma,mu-sigma.com,Other,"Decision sciences, data analytics, business analytics consulting",Fully Remote (not only during COVID-19),"Remote (post COVID-19), At HQ (as listed above)",Series D,501+ FTE,https://www.mu-sigma.com/contact-us#careers,20+,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,X,,X,X,,,,X,,X,X,,X,X,X,X,,,,,,X,X,,,
156,Journey Meditation,www.journeymeditation.com,Consumer Technology,"Journey is building the world's largest, most supportive, inclusive community for mental wellbeing.",US/New York,At HQ (as listed above),Seed,11-50 FTE,https://apply.workable.com/journey-meditation/j/3106584339/,1-5,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
157,Hatch,hatchcard.com,Consumer Technology,Financial and software tools for SMB owners,US/California,At HQ (as listed above),Series A,11-50 FTE,https://jobs.lever.co/Hatchcard,1-5,,X,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,
158,H1,H1insights.com,Healthcare,Global data platform of every doctor world the world,US/New York,"Remote (post COVID-19), At HQ (as listed above)",Series A,11-50 FTE,https://jobs.lever.co/h1,6-10,X,X,,X,X,,X,X,X,X,,,,,,,,,,,,,,,,X,,,X,X,X,X,X,X,,,,X,,,,,
159,Better Mortgage,better.com,Consumer Technology,,US/New York,"Remote (post COVID-19), At HQ (as listed above), Charlotte, NC; Oakland, CA; Irvine, CA",Series C,501+ FTE,https://boards.greenhouse.io/better#.WSb_UBMrI6g,20+,,X,X,X,X,X,X,X,,,,X,X,,,,,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,
160,Remind,www.remind.com,Enterprise Technology,"Remind, the leading communication platform in education, helps educators reach students and parents where they are. With easy-to-use features that allow schools, districts, and other educational organizations to activate engagement across their communities, Remind connects the people and resources that help give every student the opportunity to succeed.",US/California,"Remote (post COVID-19), At HQ (as listed above)",,101-500 FTE,https://www.remind.com/about/#careers,11-20,X,X,X,X,X,,X,X,X,X,X,,,,,,,X,X,,,X,,,,X,,,,,,,,,,X,,X,,,,,
161,Nightfall AI,www.nightfall.ai,,"Discover, classify, and protect sensitive data.",US/California,"Remote (post COVID-19), At HQ (as listed above)",,,www.nightfall.ai/careers,20+,,X,,X,X,X,X,X,X,X,,,X,,,,,,,,,,,,X,,,,,X,X,,,,X,X,X,,,,X,,
162,Ethos,https://www.ethoslife.com/,Consumer Technology,"Ethos was built to make it faster and easier to get term life insurance. Our approach blends industry expertise, technology, and the human touch to find you the right policy to protect your loved ones. Using predictive analytics, we are able to transform a traditionally 15-week process into a modern digital experience for our users.
 
 Our investors include Sequoia Capital, Accel Partners, Google Ventures, Jay-Z, Kevin Durant, and Robert Downey Jr. We are listed as Forbes’ Top 50 Fintechs of 2020 as well as featured on VentureBeat for raising $60m in our series C funding. We are scaling quickly and looking for passionate people to protect the next million families.",US/California,"At HQ (as listed above), Austin and Singapore",Series C,101-500 FTE,https://www.ethoslife.com/careers/,11-20,,X,,,,X,X,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,
163,Acoustic Wells,acoustic-wells.com,Enterprise Technology,IoT for heavy industry,US/Massachusetts,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,,1-5,X,X,X,,,X,X,X,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,,
164,Miro,miro.com/careers,Enterprise Technology,"The online collaborative whiteboarding platform to bring teams together, anytime, anywhere.",US/California,"At HQ (as listed above), San Francisco, Los Angeles and Austin",Series A,101-500 FTE,miro.com/careers,20+,,,,X,X,X,,,,,,,,,,,,,,,,X,,,X,,X,,X,X,X,,X,X,,,X,X,X,,X,,
165,Alto Pharmacy,Alto.com,Healthcare,"A tech-based approach to the pharmacy: free, same day courier delivery, centralized fulfillment warehouses, and more.",US/California,"San Francisco, Denver, and more",Series D,101-500 FTE,alto.com/careers,20+,,X,,X,X,X,X,X,X,X,,,,,,,,,,,,X,X,,X,X,X,,,X,,,,,,,,,X,,X,,
166,Zumper,www.Zumper.com,Consumer Technology,Zumper is on a mission to make renting an apartment as easy as booking a hotel.,US/California,"Remote (post COVID-19), At HQ (as listed above), Scottsdale, AZ | Minneapolis, MN | Cincinatti, OH | Columbus, OH | Portland, OR | Philadelphia, PA | Madison, WI | Milwaukee, WI | Dallas, TX",Series D,101-500 FTE,https://jobs.lever.co/zumper,11-20,,,X,,X,X,,,,,,,,,,,,X,,X,X,,,,,,,,,,X,,,,,,X,X,,,X,,
167,SimonData,https://www.simondata.com,Enterprise Technology,"Simon Data is the enterprise customer data platform that empowers brands to deliver data-driven, personalized customer experiences everywhere.",US/New York,"Remote (post COVID-19), At HQ (as listed above)",,51-100 FTE,https://www.simondata.com/careers/job-openings/,11-20,,X,X,,X,X,,,,X,,,,,,,,X,,,,,,,,,,,,,,,X,X,,,,X,X,,,,
168,Wishi,https://www.wishi.me/,Consumer Technology,Online premium personal styling,US/New York,At HQ (as listed above),Series A,11-50 FTE,Growth manager,1-5,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
169,Good Money,https://goodmoney.com/,Consumer Technology,Good Money is the world's first banking platform that will be owned by its customers and will invest 50% of profits to actively protect the environment and fight for social justice.,Fully Remote (not only during COVID-19),Remote (post COVID-19),Series A,11-50 FTE,https://boards.greenhouse.io/goodmoney,1-5,,X,,,X,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
170,Cambium Carbon,https://www.cambiumcarbon.com/,Other,An early stage social enterprise start up focused on implementing systems-level natural climate solutions centered on reforestation and urban wood reuse.,US/Connecticut,Remote (post COVID-19),Pre-Seed,1-10 FTE,https://www.cambiumcarbon.com/apply,1-5,X,X,X,,X,,X,X,X,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,X,X,,,,,,
171,Renzoe Box,https://www.renzoebox.com,Other,Renzoe Box is a hardware & software beauty platform streamlining the personal makeup collection,US/Texas,Remote (post COVID-19),Pre-Seed,1-10 FTE,https://docs.google.com/forms/d/1oLu-MLioiqYvaE9QvCkfjWac4-KYW2hEMz-rQjr00ro/edit,20+,X,X,X,X,X,,,X,,,,,,,,,,X,,,,,,,X,,,,,X,,,,,,,,X,,,,,
172,Datacubes,www.datacubes.com,Enterprise Technology,"DataCubes is the leading underwriting decisioning platform for commercial P&C insurers. The company has revolutionized the commercial underwriting process with cutting-edge AI and data science. Commercial carriers of all sizes use DataCubes to make real-time underwriting decisions based on rich data and highly-accurate intelligence gathered by external sources to improve productivity, profitability, efficiency and accuracy.",US/Illinois,"Remote (post COVID-19), At HQ (as listed above)",,51-100 FTE,https://datacubes.bamboohr.com/jobs,1-5,,X,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
173,Newchip Accelerator,Https://launch.newchip.com,Other,Global Remote Startup Accelerator,US/Texas,"Remote (post COVID-19), At HQ (as listed above)",Series A,11-50 FTE,https://newchip.workable.com/,11-20,X,,X,X,X,X,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
174,Vineti,www.vineti.com,Enterprise Technology,"Vineti creates advanced software for advanced therapies. We are a healthcare-tech company developing software solutions that enable biopharmaceutical and lifescience companies to provide next generation personalized therapies safely, securely, seamlessly, and scalably. Our work at Vineti changes the lives of patients. Our essential technology makes it possible for patients with cancer, genetic disorders, and other serious health conditions to receive these breakthrough therapies. In 2019, the World Economic Forum selected Vineti for its prestigious international Technology Pioneers honor, as a company with the potential to ""improve society for years to come.""",US/California,"Remote (post COVID-19), At HQ (as listed above)",Series C,101-500 FTE,https://vineti.com/careers/jobopenings,20+,,X,X,X,X,X,X,,,X,,X,X,X,,,,X,,,,,,,X,,,,X,,,,,,,,,,,,X,X,
175,Pullover Technologies,pullover.tech,Consumer Technology,parking startup with zero fixed cost - we'll certainly survive COVID19,Malaysia,Remote (post COVID-19),Pre-Seed,1-10 FTE,mailto:kj@pullover.tech,1-5,X,X,X,,,,X,X,X,,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
176,Sqreen,www.sqreen.com,Enterprise Technology,"Sqreen is the application security platform for the modern enterprise. More than 800 organizations trust Sqreen to protect, observe and test their applications, APIs and microservices.",US/California,"San Francisco, CA and Paris, France as well as remote EU",Series A,51-100 FTE,https://www.sqreen.com/company#jobs,6-10,,X,,,X,,,,X,X,,,X,,,,,,,,,,,,,,,,,X,X,,,,X,,,,,,,,
177,Newsela (potentially frozen),Newsela,Enterprise Technology,https://newsela.com/about/company/careers/,US/New York,"Remote (post COVID-19), At HQ (as listed above)",Series C,101-500 FTE,https://newsela.com/about/company/careers/,20+,,,X,,X,X,,,,,,,,,,,,X,,X,,,,,,,,,X,X,X,,,X,,X,,,,X,,X,
178,Plaid,plaid.com,Consumer Technology,"Plaid is the technology platform providing the tools and access needed for the development of a fully modern, and digitally-enabled financial system. Plaid makes it easier and safer for developers — from the smallest startups to the largest financial institutions — to build innovative financial services and applications.",US/California,"Remote (post COVID-19), At HQ (as listed above), New York, Salt Lake City, London, Amsterdam",Series C,101-500 FTE,https://plaid.com/careers/,20+,,X,X,X,X,X,X,X,X,X,,,X,,,,,,,,,X,X,,,X,,,,,X,,,,,X,X,,,,X,,
179,Jupiter,https://jupiter.co/,Consumer Technology,"We believe in a world in which products appear magically in your kitchen, leaving no trace of plastics or boxes behind them, where food waste is almost non-existent, because we bring exactly what you’re gonna use. We’re building the first logistics network committed to waste reduction.",US/California,At HQ (as listed above),Seed,1-10 FTE,careers@jupiter.co,1-5,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,States Title,https://www.statestitle.com/,Other,"States Title family of brands (States Title, North American Title Company, and North American Title Insurance Company) is one of the nation's largest Title & Settlement providers, leveraging machine intelligence and new technology to revolutionize an age old market.",US/California,"Remote (post COVID-19), At HQ (as listed above), Irvine, CA and San Francisco, CA",Series B,501+ FTE,https://www.statestitle.com/team-careers/,20+,,X,X,X,,X,,,,X,,,X,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,X,,,
181,Codi,https://www.codiwork.com/,Consumer Technology,"Home based co-working: Find quiet, productive workspaces in beautiful private homes nearby.",US/California,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,https://angel.co/company/codiwork/jobs/764407-product-designer-ui-ux,1-5,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
182,Rebellion Defense,www.Rebelliondefense.com,Other,Software company building cutting edge solutions in Machine Learning and AI,US/Washington,At HQ (as listed above),Series A,51-100 FTE,https://jobs.lever.co/rebelliondefense,20+,,X,,X,X,,X,X,X,,,,X,,,,X,,,,,X,,,,,,,,X,,,,,,,,,,,,,
183,Mux,https://mux.com,,Mux is an API-first video platform designed to make world-class video streaming and analytics possible for every development team.,,,,11-50 FTE,https://mux.com/jobs/,20+,,X,X,,,,X,X,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Zelos.gg,https://zelos.gg/,Consumer Technology,"Play Games, Earn Prizes. Collect points by finishing in-game missions and trade them for new games or in-game currency. Headquartered in Los Angeles",US/California,At HQ (as listed above),Seed,1-10 FTE,Frontend JD: https://www.notion.so/zelosgg/Frontend-Engineer-d859cc2f87c74496a8972f43384c337f Designer JD: https://www.notion.so/zelosgg/Designer-299dee31e15444328948dbfcda0b9d80,1-5,,X,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
185,Crunchbase,https://about.crunchbase.com/about-us/careers/,Consumer Technology,"Crunchbase is the leading platform for professionals to discover innovative companies, connect with the people behind them, and pursue new opportunities. Over 55 million professionals—including entrepreneurs, investors, market researchers, and salespeople—trust Crunchbase to inform their business decisions. And companies all over the world rely on us to power their applications, making over a billion calls to our API each year.",US/California,At HQ (as listed above),Series C,101-500 FTE,https://about.crunchbase.com/about-us/careers/,20+,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,JetFuel,https://jetfuel.it/careers,Consumer Technology,Building the influencer economy. HQ in San Francisco,US/California,At HQ (as listed above),Seed,1-10 FTE,https://jetfuel.it/careers,1-5,,X,X,,,X,X,,,X,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,
187,Bright Cellars,www.brightcellars.com,Consumer Technology,Customized wine experiences delivered to your door. Making wine accessible and enjoyable!,US/Wisconsin,"Remote (post COVID-19), At HQ (as listed above)",Series A,51-100 FTE,http://www.newaukee.com/nkes-job-board/,1-5,,X,X,X,,,X,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,
188,Armada Biosystems,http://armada.bio/,Other,Revolutionary SynBio - HQ is in Los Angeles,US/California,At HQ (as listed above),Seed,1-10 FTE,jobs@armada.bio,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"Journey Builders, Inc",https://www.journey.builders/,Enterprise Technology,"Supporting the construction workforce of the future. HQ in San Jose, CA.",US/California,"At HQ (as listed above), San Jose, CA",Seed,1-10 FTE,,1-5,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
190,Volley,https://volleythat.com/,Consumer Technology,"Interactive, voice-controlled entertainment for smart speakers & smartphones.",US/California,"At HQ (as listed above), San Francisco",Seed,1-10 FTE,,1-5,,X,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Hexawise,hexawise.com,Enterprise Technology,"Hexawise is a profitable, growing SaaS firm that helps more than 100 Fortune 500 firms improve the efficiency of their software testing. Testers using our Hexawise test design tool generate sets of software tests that achieve as much coverage as possible in as few tests as possible using applied statistics-based optimization methods. Hexawise is a bootstrapped firm that has been profitable and consistently growing since we launched in 2009. We are looking to hire a Marketing Lead experienced in enterprise SaaS to lead our Marketing efforts. To date, we have under-invested in Sales and Marketing.",US/North Carolina,"Remote (post COVID-19), At HQ (as listed above), We are also looking for a senior Customer Success Manager based in India",Series A,11-50 FTE,https://hexawise.com/careers#marketing-lead,1-5,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,X,,,,,
192,Intertwined Entertainment,intertwinedent.com,Enterprise Technology,"What is Intertwined Entertainment? Founded in Detroit, Michigan Intertwined Entertainment is Multinational conglomerate Record Label & Productions Company. The word “Entertainment” comes from the idea that the company entertains multiple fields of work and a vast landscape of areas. We specialize in providing optical music services to recording artists and aspiring ones. We provide platform building for artist(s), marketing services at industry level quality, advising and studio time in state of the art recording studios built and designed by Intertwined Studios team. We also create customer and signed artists packages as apart of our public and private label work.",US/Michigan,Remote (post COVID-19),Series C,11-50 FTE,https://www.intertwinedent.com/pages/multimedia-production-company-recording-studio-detroit-mi,11-20,X,X,X,X,X,X,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
193,Antler,www.antler.co,Other,"We bring together exceptional people to build their next startup. At Antler, we believe that it is important to have exceptional people, regardless of their background and nationality, work on addressing large global opportunities and challenges. We help to validate the business model, mentor the teams, give access to an unmatched global network of advisors and provide financing from day one so that you can build and scale your startup faster.",Singapore,,,,https://www.antler.co/apply,20+,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,,,,,X,,,,X,X,,,X,X,,
194,BrightHire,www.brighthire.ai,Enterprise Technology,Bringing conversation analytics to hiring.,US/New York,At HQ (as listed above),Seed,1-10 FTE,https://angel.co/company/brighthire/jobs/732135-full-stack-engineer,1-5,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,WellNested,www.bewellnested.com,,Platform that connects new parents to a vetted team of care providers,US/Massachusetts,At HQ (as listed above),Pre-Seed,1-10 FTE,https://angel.co/company/wellnested/jobs/756532-first-engineering-hire-for-early-stage-mit-startup-in-boston,1-5,,X,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Spot,spot.io,Enterprise Technology,"Spot is a SaaS platform for cloud infrastructure optimizations working with all major cloud providers. Spot currently has over 1,000+ customers, 200 employees, is well funded and positioned during the crisis.",US/California,"At HQ (as listed above), New York, Washington DC, London, Tel Aviv",Series B,101-500 FTE,https://spot.io/careers/,20+,,X,X,X,X,X,X,X,X,X,,,X,,,,,X,,,,X,,X,,,,,,X,X,,X,,X,X,X,X,X,X,X,,
197,Rosebud AI,Www.rosebud.ai,Enterprise Technology,AI synthesized photos and video. 4000 users. Khosla led seed and Y Combinator. Low ego and growth mindset team.,US/California,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,http://blog.rosebud.ai/hiring/,1-5,X,X,X,,X,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,
198,Ahead,www.helloahead.com,Healthcare,Modernized mental healthcare.,US/California,"At HQ (as listed above), SF, LA, San Diego, New York City",Series A,11-50 FTE,https://jobs.lever.co/helloahead/,11-20,,X,X,X,,,,X,,X,X,X,X,,,,,X,,,,,X,,X,X,X,,,,,,,,,,,,,,,,
199,Confluent,confluent.io,Enterprise Technology,"Founded by the team that built Apache Kafka®, Confluent builds an event streaming platform that enables companies to easily access data as real-time streams.",US/California,"Remote (post COVID-19), At HQ (as listed above)",Series D,501+ FTE,confluent.io/careers,20+,,X,X,X,X,X,X,X,X,,,X,X,,,,,X,,,,X,X,,,X,,,,X,X,,X,X,X,X,X,X,,X,X,,X
200,Strivr,https://www.strivr.com/,Enterprise Technology,"Strivr transforms the way companies train and develop their employees, using virtual reality (VR) to simulate real-world, on-the-job situations for enhanced learning. Leading Fortune 500 companies and sports teams use Strivr's immersive training platform to create highly engaging experiences for fast, consistent, and effective training.",US/California,"At HQ (as listed above), Bellevue, WA and Los Angeles, CA",Series B,101-500 FTE,https://www.strivr.com/company/careers/,11-20,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,X,X,,
201,The Zebra,thezebra.com,Consumer Technology,"The Zebra is the nation’s most comprehensive and most visited online insurance comparison marketplace. Since 2012, The Zebra has led the charge to bring transparency to the auto and home insurance industry – to make insurance black and white.
 
 The Zebra’s unique and powerful technology provides real-time rates and educational resources to inform consumers and help them find the coverage, service level, and pricing to suit their unique needs, while simultaneously helping insurance companies connect with the consumers they best serve in today’s digital world.
 
 Insurance in black & white.® Compare quotes from top insurance companies in seconds.",US/Texas,"At HQ (as listed above), Austin, Texas",Series C,101-500 FTE,https://www.thezebra.com/about/careers/,6-10,,X,X,,,,X,X,X,X,,X,X,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,
202,Unlearn.AI,unlearn.health,Healthcare,Unlearn accelerates drug development by using digital twins to populate intelligent control arms in clinical drug trials.,US/California,At HQ (as listed above),Series A,11-50 FTE,https://www.unlearn.health/jobs,1-5,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,X,,
203,SentiLink Corp.,sentilink.com,Enterprise Technology,Identity verification and fraud detection,US/California,At HQ (as listed above),Series A,11-50 FTE,https://jobs.lever.co/sentilink,1-5,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,
204,Benchling,benchling.com,Enterprise Technology,SaaS company supporting life sciences.,US/California,At HQ (as listed above),Series C,101-500 FTE,benchling.com/careers,20+,,X,X,X,X,X,X,,X,X,,,X,,,,,X,,,,X,,,X,,,,,X,X,,,,,,,,,,X,,
